"","wbic","mean.annual.effort","overall.sd","upper","lower"
"1","394400",42688.8738981158,11373.8495385838,65436.5729752835,19941.1748209481
"2","1018500",3960.46156675115,1118.14990557528,6196.76137790171,1724.16175560059
"3","1545600",56715.7876735918,13816.5102647717,84348.8082031353,29082.7671440484
"4","1588200",11917.9821375594,3675.67296694565,19269.3280714507,4566.6362036681
"5","1592400",28920.5222157183,11648.2998564528,52217.1219286239,5623.92250281273
"6","2331600",24559.0943255818,5788.96811790656,36137.0305613949,12981.1580897687
"7","2391200",26884.5164117448,15044.7315584718,56973.9795286884,-3204.94670519875
"8","2620600",44622.6282447182,10828.9170445478,66280.4623338139,22964.7941556226
"9","2678100",10536.5183295871,3146.94949142541,16830.4173124379,4242.61934673627
"10","2742100",17662.2008362651,2995.9759989505,23654.1528341661,11670.2488383641
"11","2742500",3558.7223008473,885.199452830128,5329.12120650756,1788.32339518704
"12","2897100",3834.67579118412,1037.15286114785,5908.98151347983,1760.37006888842
"13","2949200",5175.12951867577,967.806368154025,7110.74225498382,3239.51678236772
